0,"<strong>Beamer Slide Composition</strong>, Joseph Dyer (Bachelor&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, 2019-06-09 ","b'\xd2F\x8e\xe64&s\x90\x93\r7\x01?\t\x86\xd3\xde\xe8\xcb\xaaU\xe4\xa3\xe2^)\xae\x1e\x7fw=\xc4'"
1,"<strong>Recognition of Company Mergers Using Interactive Labeling and Machine Learning Methods</strong>, Anne Lorenz (Bachelor&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, Doris Birkefeld, 2019-05-08 ","b'#\x18\xa6\x1f^\x0e@\xf9\x1dC\x03#\x9d\xb7!S\xb77\x80\x9d\t\x8c\xf8\x13O\x9bD\xfc""\xc7\x0b1'"
2,"<strong>Accessibility Assistance for the Interactive Navigation of Texts</strong>, Imad Hamoumi (Master&#039;s Thesis), Advisors: Patricio Farrell, <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, 2019-01-28 ","b'b\xaa\x13\x87\xf3%\x1f\xf5{\x052\xb2y\xdb\xbe_&\x14X\x12\xa0\xa4\xf0\xe1v\x98[\xcci\xd0\x8b\xb8'"
3,"<strong>Entwicklung eines computergesteuerten Akteurs für das kooperative Spielen in einem dyadischen Geschicklichkeitsspiel</strong>, Melanie Budde (Bachelor&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, 2019-01-17 ","b'TFC\xa6\r\xc4Z\xbc\xabw\x8e8\xefOvD\t\x83\x9f\x12\x17\x91V\xed\x85\xf8\xe6\xad\xdb\xfb\xb0@'"
4,"<strong>Comparing Naïve Bayesian Networks to Support Vector Machines to predict Stock Prices Based on Press Release Sentiment</strong>, Max Lübbering (Master&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, Patricio Farrell, 2018-12-04 ","b'f\xe2\xff\xf2\xa2\xaf\x16\xa0j\xf5\xe2\r\xb0\xcd\xdeX\x92\x05\x16;\xbe\x7f\xa2\x1d`r;""\xea|p\xed'"
5,"<strong>Understanding Customer Behaviour to Optimize Product Sorting for E-Commerce Websites</strong>, Amina Voloder (Master&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, Antonia Wrobel, 2018-08-07 ","b'\xc4\xf3L\xc7.\xcfC\xfe[}~\x13\x01\xc7\x04\xe4\x91\xd6\x93Z<5L\xa1f\xe0\x04\xf7\xa6R.\xc5'"
6,"<strong>Comparison of Compiler’s Intermediate Representations and Input/Output Access Patterns with String Kernels</strong>, Raul Torres (PhD&#039;s Thesis), Advisors: Thomas Ludwig, <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, Manuel F. Dolz, 2018-06-18 ","b'KW\xd6\xffA?\x93\xf1g\xd0>\xb9\xe8(\xd4\x99i\xb8FHu\x96\x9a\x8f\x98\xd3\xe6\\\xd9\x13\xd0\x99'"
7,"<strong>Large-Scale Accessibility Analysis Using OpenStreetMap Data</strong>, Martin Poppinga (Master&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, 2018-06-06 ","b'c\xf7\x87\xac\xef\xfck\x8e\xcaZo\xb9A\xd3\xed\x93\x1f\x82\xd8\x11R\xac\x84\xab\xbc\x00.X\x07\x9f\\\xbe'"
8,"<strong>Vector Folding for Icosahedral Earth System Models</strong>, Jonas Tietz (Bachelor&#039;s Thesis), Advisors: <a href=""/about/people/externals/nabeeh_jumah"" class=""wikilink1"" title=""about:people:externals:nabeeh_jumah"">Nabeeh Jumah</a>, <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, 2018-03-26 ","b'8\x17\xc1\r\xac\x1c\xcd\xcb-\xc2\xccS\xe7{?l\xed9p\xd5\x06\xf8\xa6\xee\xb2\x96^\x9d\xafBN\xe9'"
9,"<strong>Enabling Single Process Testing of MPI in Massive Parallel Applications</strong>, Tareq Kellyeh (Master&#039;s Thesis), Advisors: <a href=""/about/people/julian_kunkel"" class=""wikilink1"" title=""about:people:julian_kunkel"">Dr. Julian Kunkel</a>, <a href=""/about/people/externals/christian_hovy"" class=""wikilink1"" title=""about:people:externals:christian_hovy"">Christian Hovy</a>, 2018-03-20 ","b'\xfc\x18\xa9O\x911\x9d@\xabjO%\x94^Ue\xc0\xa7\xd2\xfdl\xc6\xcb\xa8\x80\\)vT\xe8)\x88'"
